Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Region Hovedstaden;Nature of the offence, total;192915;201759;209213;203678;208004;208997;215615;209536;203995;214322;200573;189236;192709;164550
Region Hovedstaden;Penal Code, total;165477;173385;183671;177703;179134;178440;175905;168149;166245;173218;161039;145280;144919;124249
Region Hovedstaden;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Sexual offenses, total;690;683;615;653;665;730;732;611;797;1823;3302;2684;1583;1628
Region Hovedstaden;Incest, etc.;17;9;18;9;15;16;10;4;15;19;11;9;9;8
Region Hovedstaden;Rape, etc.;158;151;124;123;89;99;112;119;149;250;301;314;319;345
Region Hovedstaden;Heterosexual offence against a child under 12 (Repealed in 2013);38;19;27;25;30;31;12;0;0;0;0;0;0;0
Region Hovedstaden;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;19;29;44;214;145;111;50;64
Region Hovedstaden;Any other kind of heterosexual offence (Repealed in 2013);38;44;57;50;54;77;48;0;0;0;0;0;0;0
Region Hovedstaden;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;14;22;36;159;100;192;45;56
Region Hovedstaden;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;21;27;40;58;63;158;101;88
Region Hovedstaden;Homosexual offence against a child under 12 (Repealed in 2013);4;2;0;2;0;1;0;0;0;0;0;0;0;0
Region Hovedstaden;Any other kind of homosexual offence (Repealed in 2013);4;1;2;1;2;6;1;0;0;0;0;0;0;0
Region Hovedstaden;Offence against public decency by groping;120;131;129;125;137;132;134;128;224;224;286;281;274;306
Region Hovedstaden;Offence against public decency by indecent exposure;129;118;80;140;159;137;141;144;120;162;144;139;162;175
Region Hovedstaden;Any other kind of offence against public decency;104;125;101;117;105;175;176;90;130;322;987;824;441;427
Region Hovedstaden;Prostitution, etc.;78;83;77;61;74;56;44;48;39;415;1265;656;182;159
Region Hovedstaden;Crimes of violence, total;6456;5790;5622;5341;5182;4874;5297;5846;6236;7107;8798;9347;9740;8865
Region Hovedstaden;Violence against public authority;1263;1038;919;904;921;795;1055;1107;1315;1571;2065;2020;2045;1627
Region Hovedstaden;Unlawful assembly/disturbance of public order;206;9;35;4;65;8;27;55;62;110;192;195;292;134
Region Hovedstaden;Homicide;10;16;21;14;23;18;11;23;18;17;18;16;22;14
Region Hovedstaden;Attempted homicide;72;107;100;74;60;66;89;77;69;111;106;109;72;69
Region Hovedstaden;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;62;158
Region Hovedstaden;Common assault;3017;2887;2708;2553;2459;2260;2390;2694;2752;2976;3348;3827;3952;3558
Region Hovedstaden;Assault causing actual bodily harm;645;504;510;522;526;531;510;590;559;713;827;739;796;692
Region Hovedstaden;Particularly aggravated assault;4;9;5;8;6;5;6;5;3;5;8;7;2;2
Region Hovedstaden;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Causing death or bodily harm by negligence;4;13;10;14;7;6;6;11;7;10;12;14;18;3
Region Hovedstaden;Offences against life and limb;119;119;175;123;122;151;133;154;160;170;592;428;298;294
Region Hovedstaden;Offences against personal liberty;94;81;117;102;93;96;105;80;86;123;123;151;164;172
Region Hovedstaden;Threats;1022;1007;1022;1023;900;938;965;1050;1205;1301;1507;1841;2017;2142
Region Hovedstaden;Offences against property, total;155615;164243;175040;168823;170275;169935;166178;158236;155858;161245;145660;129622;129564;109418
Region Hovedstaden;Forgery;955;788;722;1059;2080;1145;1005;857;1309;1514;962;673;961;898
Region Hovedstaden;Cheque forgery;98;107;189;192;75;28;31;31;5;4;0;0;0;0
Region Hovedstaden;Arson;701;815;426;351;248;207;664;398;344;415;466;530;744;561
Region Hovedstaden;Burglary - business and community;8951;9633;11709;10558;8621;7337;7281;6452;6078;4644;4015;4207;4163;3262
Region Hovedstaden;Residential burglaries;11005;12182;16168;15625;15460;14210;14118;12219;11261;11792;9907;9168;8726;5896
Region Hovedstaden;Burglary (uninhabited buildings);2999;3867;4655;4611;4580;4203;4987;5144;4023;4202;3536;3123;3024;2727
Region Hovedstaden;Theft from conveyances;16216;13099;14413;12647;10266;11591;9606;10266;9188;9852;10871;10200;9216;7573
Region Hovedstaden;Shoplifting, etc.;7335;8402;8674;9858;9713;9490;8931;9291;8722;8789;9023;8534;7420;7607
Region Hovedstaden;Other kinds of theft;47310;52938;51664;54604;60474;65330;66451;58569;53094;59165;53363;39179;35565;22884
Region Hovedstaden;Theft of/taking vehicle without the owners consent (TWOC);5718;6105;6259;5242;4342;3714;3557;3430;3463;3572;3098;2801;2755;2337
Region Hovedstaden;Theft of/taking moped without the owners consent (TWOC);2015;1636;1303;750;608;517;493;385;270;228;189;181;163;167
Region Hovedstaden;Theft of/taking bicycle without the owners consent (TWOC);31658;34057;38822;34775;35099;35061;31436;31717;29463;28388;25000;26798;26854;24433
Region Hovedstaden;Theft of/taking other objects without the owners consent (TWOC);1751;2252;2390;2048;1988;1893;1911;1891;1644;1517;1319;1626;1457;1270
Region Hovedstaden;Theft by finding;235;252;266;267;306;280;249;221;207;199;194;229;280;236
Region Hovedstaden;Embezzlement;149;123;112;261;110;341;116;656;1417;913;155;724;1018;1401
Region Hovedstaden;Fraud;2828;2486;2160;3058;4271;3114;3750;5290;14015;13801;12112;11473;12930;13405
Region Hovedstaden;Fraud by cheque;26;65;103;134;53;39;30;8;3;1;2;0;1;2
Region Hovedstaden;Fraud by abuse of position;46;29;34;22;137;103;121;68;265;785;347;186;1002;239
Region Hovedstaden;Blackmail and usury;70;67;86;79;70;112;96;144;143;150;373;724;459;1464
Region Hovedstaden;Fraud against creditors;28;25;27;41;35;49;49;33;32;102;24;23;42;28
Region Hovedstaden;Handling stolen goods;352;341;443;480;535;505;864;975;360;467;222;235;287;852
Region Hovedstaden;Robbery;1485;1613;2200;1755;1749;1717;1938;1291;1067;1177;1048;956;857;839
Region Hovedstaden;Aggravated tax evasion etc.;202;171;65;133;134;151;219;241;192;289;185;194;580;601
Region Hovedstaden;Malicious damage to property;13375;13096;12064;10218;9270;8699;7825;8132;8019;7512;7553;6732;7278;7582
Region Hovedstaden;Receiving stolen goods by negligence;5;6;6;5;4;1;4;8;6;3;4;1;2;2
Region Hovedstaden;Offence against and infringement of property;102;88;80;50;47;98;446;519;1268;1764;1692;1125;3780;3152
Region Hovedstaden;Other offences, total;2716;2669;2394;2886;3012;2901;3698;3456;3354;3043;3279;3627;4032;4338
Region Hovedstaden;Offences against public authority, etc.;824;783;647;779;860;801;925;882;811;580;683;847;936;868
Region Hovedstaden;Offences by public servants;12;50;15;20;16;22;34;27;36;75;160;59;112;350
Region Hovedstaden;Perjury;31;22;17;29;30;40;24;22;56;27;31;39;29;26
Region Hovedstaden;Any other kind of false statement;450;469;453;474;492;484;487;478;484;407;429;440;392;478
Region Hovedstaden;Offences concerning money and evidence;490;472;273;364;420;570;1001;794;854;521;512;602;659;465
Region Hovedstaden;Trafficking of drugs, etc.;303;263;270;326;286;326;439;451;452;422;402;596;505;523
Region Hovedstaden;Smuggling etc. of drugs;58;55;51;32;49;54;88;78;46;32;29;55;67;58
Region Hovedstaden;General public offences etc.;17;80;180;227;211;161;162;128;111;138;210;200;175;184
Region Hovedstaden;Illegal trade, etc.;42;17;17;33;36;44;64;38;93;230;149;52;24;22
Region Hovedstaden;Family relation offences;21;23;6;29;21;22;27;27;20;22;30;26;37;29
Region Hovedstaden;Involuntary manslaughter etc. in connection with traffic accident;37;50;38;44;35;51;41;53;33;52;53;37;53;66
Region Hovedstaden;Non-molestation order (Repealed in 2012);181;153;178;213;267;23;1;0;0;0;0;0;0;0
Region Hovedstaden;Invasion of privacy and defamation;250;232;249;316;289;303;405;478;358;537;591;674;1043;1269
Region Hovedstaden;Special acts, total;27438;28374;25542;25975;28870;30557;39710;41387;37750;41104;39534;43956;47790;40301
Region Hovedstaden;Euphoriants Act;8226;8896;7667;7213;8095;8674;10439;11988;11021;10282;10717;12689;14126;12705
Region Hovedstaden;The Offensive Weapons Act;2812;3094;2456;1756;1934;2359;3190;3363;3137;3264;2831;4374;5604;4269
Region Hovedstaden;Tax legislation and fiscal acts, etc.;435;614;649;785;779;1416;1599;1710;1333;1333;1244;1310;1287;1946
Region Hovedstaden;Other special acts in criminal law;8397;7829;7985;8310;10486;10185;16799;17090;15454;17600;15973;17802;18519;14111
Region Hovedstaden;Health and social security legislation;535;903;730;1039;925;810;782;861;860;923;930;779;755;1689
Region Hovedstaden;Building and housing legislation;74;66;51;39;44;58;42;39;67;54;70;98;49;47
Region Hovedstaden;The environmental protection act;1114;1234;1109;1157;1088;1136;867;1048;748;815;642;834;736;735
Region Hovedstaden;Legislation on animals, hunting, etc.;883;1026;1068;1072;1130;1073;1009;907;880;908;837;1042;959;897
Region Hovedstaden;Legislation on employment, transport, etc.;2240;2303;1976;2738;2558;2636;2350;2188;2094;2567;2733;2468;2908;2356
Region Hovedstaden;The Companies Act;98;123;90;101;234;324;282;208;314;387;359;204;685;760
Region Hovedstaden;Legislation on the national defence;403;329;312;499;280;533;1182;1017;954;2259;2416;1680;1306;276
Region Hovedstaden;Legislation applying to public utilities;60;116;143;87;115;127;112;85;125;74;148;52;60;50
Region Hovedstaden;Legislation on gambling, licencing, trade;2083;1772;1260;1146;1158;1192;1017;823;694;492;474;406;476;287
Region Hovedstaden;Any other special legislation;78;69;46;33;44;34;40;60;69;146;160;218;320;173
Region Hovedstaden;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Nature of the offence, total;64419;75670;76705;72703;71807;66757;67952;66553;63480;65721;62975;61445;57270;52608
Region Sjælland;Penal Code, total;56751;67944;68873;63755;61415;56007;55312;51550;47089;51459;48235;42762;39658;37834
Region Sjælland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Sexual offenses, total;376;383;318;435;408;378;404;546;440;530;755;934;833;896
Region Sjælland;Incest, etc.;13;16;8;24;5;17;13;15;13;3;18;21;9;15
Region Sjælland;Rape, etc.;69;78;66;75;75;47;59;65;81;106;149;200;165;175
Region Sjælland;Heterosexual offence against a child under 12 (Repealed in 2013);26;31;27;43;22;29;6;0;0;0;0;0;0;0
Region Sjælland;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;7;25;26;27;29;67;65;58
Region Sjælland;Any other kind of heterosexual offence (Repealed in 2013);41;33;44;49;39;30;14;0;0;0;0;0;0;0
Region Sjælland;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;27;41;44;25;27;39;60;66
Region Sjælland;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;5;16;13;25;37;36;51;38
Region Sjælland;Homosexual offence against a child under 12 (Repealed in 2013);4;1;1;0;2;0;1;0;0;0;0;0;0;0
Region Sjælland;Any other kind of homosexual offence (Repealed in 2013);7;6;2;1;3;1;1;0;0;0;0;0;0;0
Region Sjælland;Offence against public decency by groping;49;54;54;77;70;67;68;69;63;143;128;163;136;144
Region Sjælland;Offence against public decency by indecent exposure;51;48;34;51;81;70;105;126;74;79;53;75;64;97
Region Sjælland;Any other kind of offence against public decency;69;63;53;86;83;88;76;152;91;93;181;175;196;211
Region Sjælland;Prostitution, etc.;47;53;29;29;28;29;22;37;35;29;133;158;87;92
Region Sjælland;Crimes of violence, total;2712;2579;2474;2449;2346;2204;2356;2431;2518;3327;3780;4072;4488;4304
Region Sjælland;Violence against public authority;414;323;344;348;331;328;341;420;451;783;869;998;1029;894
Region Sjælland;Unlawful assembly/disturbance of public order;0;8;1;0;3;1;2;0;0;1;0;47;4;22
Region Sjælland;Homicide;7;10;10;15;9;5;6;9;9;3;5;8;10;11
Region Sjælland;Attempted homicide;33;17;27;16;31;16;24;21;17;21;25;33;28;23
Region Sjælland;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;40;84
Region Sjælland;Common assault;1381;1256;1207;1176;1103;1015;1079;1126;1189;1433;1484;1553;1721;1646
Region Sjælland;Assault causing actual bodily harm;200;234;246;253;235;236;240;225;196;217;258;231;283;256
Region Sjælland;Particularly aggravated assault;5;1;3;1;2;4;5;1;2;1;3;2;2;2
Region Sjælland;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Causing death or bodily harm by negligence;12;7;7;5;6;3;1;2;2;3;2;9;3;3
Region Sjælland;Offences against life and limb;60;69;73;69;62;68;60;52;54;73;330;224;178;146
Region Sjælland;Offences against personal liberty;35;34;27;35;39;49;49;61;50;49;55;65;76;102
Region Sjælland;Threats;565;620;529;531;525;479;549;514;548;743;749;902;1114;1115
Region Sjælland;Offences against property, total;52881;64164;65234;59804;57562;52426;51629;47658;43163;46527;42725;36763;33145;31412
Region Sjælland;Forgery;237;189;186;346;172;333;260;301;285;194;265;263;170;137
Region Sjælland;Cheque forgery;33;29;45;22;23;9;11;2;0;0;0;0;0;0
Region Sjælland;Arson;155;141;135;114;119;116;113;175;158;160;278;337;291;237
Region Sjælland;Burglary - business and community;3831;5487;6159;4541;3961;2898;3134;2831;2536;2335;2105;1943;1515;1346
Region Sjælland;Residential burglaries;5585;8249;8866;7741;7881;7286;6916;5891;4331;4574;4608;4313;3912;2803
Region Sjælland;Burglary (uninhabited buildings);2429;2945;3435;3310;3437;2849;2617;2492;2274;2601;2062;1809;1615;1495
Region Sjælland;Theft from conveyances;5953;6216;5431;5582;4104;3592;2996;2598;2668;3058;3959;3504;2234;1836
Region Sjælland;Shoplifting, etc.;2055;2110;2201;2239;2247;2258;2358;2511;2292;2058;1756;1652;1750;1840
Region Sjælland;Other kinds of theft;12955;16301;16446;17248;17455;16333;16938;15294;13677;12622;11628;8502;7659;6440
Region Sjælland;Theft of/taking vehicle without the owners consent (TWOC);2429;3536;3237;2776;2391;1742;1730;1505;1341;1602;1554;1337;1192;1118
Region Sjælland;Theft of/taking moped without the owners consent (TWOC);1242;1082;848;504;467;348;294;287;204;184;133;123;129;94
Region Sjælland;Theft of/taking bicycle without the owners consent (TWOC);6461;7225;7399;6487;6284;6034;5387;5118;4859;4464;3417;3045;3077;2505
Region Sjælland;Theft of/taking other objects without the owners consent (TWOC);1093;1627;1862;1692;1480;1237;1208;1184;1182;1184;1191;1079;1170;1055
Region Sjælland;Theft by finding;95;88;104;106;148;134;115;115;79;96;101;99;89;85
Region Sjælland;Embezzlement;36;43;87;51;107;199;487;350;139;1093;40;17;171;78
Region Sjælland;Fraud;637;857;1067;1172;1444;1486;1912;1744;2542;4345;4005;3604;2517;3429
Region Sjælland;Fraud by cheque;14;52;28;59;24;4;18;16;2;0;0;0;0;0
Region Sjælland;Fraud by abuse of position;17;8;11;9;46;130;13;352;110;350;187;10;23;98
Region Sjælland;Blackmail and usury;33;43;49;35;70;46;55;56;95;78;128;323;200;429
Region Sjælland;Fraud against creditors;13;5;12;21;52;20;23;13;16;9;18;9;7;10
Region Sjælland;Handling stolen goods;151;117;166;193;217;217;251;291;114;482;90;124;110;184
Region Sjælland;Robbery;317;444;472;411;338;297;292;236;219;232;208;173;189;186
Region Sjælland;Aggravated tax evasion etc.;45;41;24;22;19;53;54;49;42;73;41;35;61;38
Region Sjælland;Malicious damage to property;7038;7279;6888;5051;5049;4746;4023;4110;3922;3842;3700;3630;3762;4032
Region Sjælland;Receiving stolen goods by negligence;4;4;1;6;0;4;8;6;0;3;2;0;2;2
Region Sjælland;Offence against and infringement of property;23;46;75;66;27;55;416;131;76;888;1249;832;1300;1935
Region Sjælland;Other offences, total;782;818;847;1067;1099;999;923;915;968;1075;975;993;1192;1222
Region Sjælland;Offences against public authority, etc.;190;168;212;196;288;291;262;246;280;262;251;223;240;161
Region Sjælland;Offences by public servants;9;10;12;6;5;10;11;14;9;26;35;12;23;19
Region Sjælland;Perjury;16;6;16;13;19;12;12;18;13;7;14;16;15;15
Region Sjælland;Any other kind of false statement;153;139;132;197;236;222;153;150;134;130;139;199;116;152
Region Sjælland;Offences concerning money and evidence;62;67;72;80;95;126;140;98;141;184;103;98;114;112
Region Sjælland;Trafficking of drugs, etc.;71;89;79;96;108;90;84;100;115;93;71;82;105;126
Region Sjælland;Smuggling etc. of drugs;10;9;20;20;22;10;9;8;13;10;10;12;17;22
Region Sjælland;General public offences etc.;11;22;71;108;137;56;72;72;51;67;86;77;61;79
Region Sjælland;Illegal trade, etc.;3;0;3;5;5;4;5;14;6;5;4;4;3;4
Region Sjælland;Family relation offences;15;11;3;16;9;11;14;13;9;8;9;16;11;10
Region Sjælland;Involuntary manslaughter etc. in connection with traffic accident;54;50;58;45;36;31;26;26;26;40;44;42;42;27
Region Sjælland;Non-molestation order (Repealed in 2012);112;159;81;106;40;11;0;0;0;0;0;0;0;0
Region Sjælland;Invasion of privacy and defamation;76;88;88;179;99;125;135;156;171;243;209;212;445;495
Region Sjælland;Special acts, total;7668;7726;7832;8948;10392;10750;12640;15003;16391;14262;14740;18683;17612;14774
Region Sjælland;Euphoriants Act;1215;1437;1478;1581;2103;2239;2148;3069;1793;2036;2504;2610;2811;2076
Region Sjælland;The Offensive Weapons Act;845;854;1063;936;1025;1026;941;846;808;1036;1136;2523;3333;2109
Region Sjælland;Tax legislation and fiscal acts, etc.;120;137;131;159;192;583;1000;940;645;747;741;747;786;1029
Region Sjælland;Other special acts in criminal law;2517;2349;2252;2912;3206;2879;4065;5947;9400;6457;6258;8636;6026;5053
Region Sjælland;Health and social security legislation;134;203;195;178;285;183;254;332;237;234;266;226;270;480
Region Sjælland;Building and housing legislation;16;17;18;44;45;30;21;24;31;19;25;23;18;33
Region Sjælland;The environmental protection act;212;330;349;320;339;369;442;337;245;234;320;642;410;573
Region Sjælland;Legislation on animals, hunting, etc.;1100;1158;1159;1478;1647;1468;1275;1217;1140;1050;995;980;1078;1148
Region Sjælland;Legislation on employment, transport, etc.;693;593;530;580;745;1069;1370;1325;1239;1087;1172;1353;1934;1888
Region Sjælland;The Companies Act;19;18;34;35;64;70;69;32;43;85;64;51;82;143
Region Sjælland;Legislation on the national defence;206;177;239;193;118;237;427;411;443;997;1007;621;619;113
Region Sjælland;Legislation applying to public utilities;28;23;61;28;58;23;45;52;40;13;25;13;12;6
Region Sjælland;Legislation on gambling, licencing, trade;537;403;316;491;545;548;562;460;321;254;215;232;212;105
Region Sjælland;Any other special legislation;26;27;7;13;20;26;21;11;6;13;12;26;21;18
Region Sjælland;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Nature of the offence, total;104273;113217;115548;110419;110526;99007;96787;93242;85967;84204;85797;85268;83954;78439
Region Syddanmark;Penal Code, total;90736;98515;100942;96090;92035;81546;77470;74407;66116;64483;64149;61344;59037;53152
Region Syddanmark;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Sexual offenses, total;614;636;575;642;627;608;579;651;733;861;952;1275;1139;1099
Region Syddanmark;Incest, etc.;15;25;12;16;8;24;17;13;14;10;15;11;10;5
Region Syddanmark;Rape, etc.;128;92;117;98;114;99;82;73;102;168;200;221;269;270
Region Syddanmark;Heterosexual offence against a child under 12 (Repealed in 2013);73;56;38;59;49;43;27;0;0;0;0;0;0;0
Region Syddanmark;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;27;34;49;42;55;85;83;73
Region Syddanmark;Any other kind of heterosexual offence (Repealed in 2013);69;109;68;97;76;69;39;0;0;0;0;0;0;0
Region Syddanmark;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;20;52;64;59;49;108;101;71
Region Syddanmark;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;16;27;24;48;63;64;57;63
Region Syddanmark;Homosexual offence against a child under 12 (Repealed in 2013);4;2;1;3;0;1;2;0;0;0;0;0;0;0
Region Syddanmark;Any other kind of homosexual offence (Repealed in 2013);0;2;2;0;4;0;3;0;0;0;0;0;0;0
Region Syddanmark;Offence against public decency by groping;99;107;105;99;98;126;92;143;130;202;156;198;187;153
Region Syddanmark;Offence against public decency by indecent exposure;79;79;78;95;92;109;100;88;119;122;83;103;80;101
Region Syddanmark;Any other kind of offence against public decency;97;104;108;133;141;92;99;150;149;169;165;283;232;234
Region Syddanmark;Prostitution, etc.;50;60;46;42;45;45;55;71;82;41;166;202;120;129
Region Syddanmark;Crimes of violence, total;4488;4391;4464;4565;4506;4273;3868;3687;3735;4932;5603;6013;6256;5902
Region Syddanmark;Violence against public authority;668;667;646;656;675;749;775;744;848;1203;1329;1532;1489;1657
Region Syddanmark;Unlawful assembly/disturbance of public order;2;0;2;1;2;6;3;3;3;3;1;26;15;9
Region Syddanmark;Homicide;13;11;12;8;12;10;8;8;4;16;10;12;7;9
Region Syddanmark;Attempted homicide;28;25;37;26;24;33;21;24;20;35;27;25;17;22
Region Syddanmark;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;32;71
Region Syddanmark;Common assault;2319;2265;2252;2323;2264;2057;1906;1719;1739;2228;2359;2549;2570;2191
Region Syddanmark;Assault causing actual bodily harm;371;370;372;378;362;370;275;295;288;324;266;353;327;343
Region Syddanmark;Particularly aggravated assault;8;3;4;1;4;1;0;3;2;2;4;1;0;1
Region Syddanmark;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Causing death or bodily harm by negligence;8;7;13;3;3;11;3;3;2;4;6;4;7;4
Region Syddanmark;Offences against life and limb;71;79;97;90;75;87;84;55;55;99;452;303;199;186
Region Syddanmark;Offences against personal liberty;70;64;68;71;69;54;49;56;44;53;88;93;211;139
Region Syddanmark;Threats;930;900;961;1008;1016;895;744;777;730;965;1061;1115;1382;1270
Region Syddanmark;Offences against property, total;84217;92243;94512;89281;84700;75175;71254;68393;59776;57008;55827;51989;49298;43474
Region Syddanmark;Forgery;312;274;293;265;317;273;440;315;247;328;316;281;316;453
Region Syddanmark;Cheque forgery;93;99;109;46;28;47;14;26;1;2;0;0;0;0
Region Syddanmark;Arson;192;157;119;122;130;127;153;120;117;129;139;202;217;217
Region Syddanmark;Burglary - business and community;5912;7756;8591;7655;6127;5048;4397;3713;3343;3383;2984;3661;2960;2482
Region Syddanmark;Residential burglaries;7602;10260;10958;9636;9564;9598;9264;8398;7298;6670;5999;6740;5580;3650
Region Syddanmark;Burglary (uninhabited buildings);2963;3404;4189;3994;4002;2940;2809;2769;2737;2278;2315;2697;2351;2308
Region Syddanmark;Theft from conveyances;10837;9747;9650;8652;7938;5657;5037;4639;3641;3114;3428;2951;2630;2670
Region Syddanmark;Shoplifting, etc.;3602;3702;3821;3791;3734;3817;3658;3860;3302;3105;2939;2926;3094;3018
Region Syddanmark;Other kinds of theft;19741;23221;22813;24148;24057;21859;21663;19719;16097;14179;13964;11023;9938;8032
